"Name","Year","Rating","Runtime","Genre","Number_of_Votes"
"Jai Bhim",2021,"9.3",164,"Crime, Drama            ",172943
"The Shawshank Redemption",1994,"9.3",142,"Drama            ",2539463
"The Godfather",1972,"9.2",175,"Crime, Drama            ",1747408
"Soorarai Pottru",2020,"9.1",153,"Drama            ",107084
"The Dark Knight",2008,"9.0",152,"Action, Crime, Drama            ",2489761
"The Godfather: Part II",1974,"9.0",202,"Crime, Drama            ",1212073
"12 Angry Men",1957,"9.0",96,"Crime, Drama            ",750353
"The Lord of the Rings: The Return of the King",2003,"8.9",201,"Action, Adventure, Drama            ",1751208
"Pulp Fiction",1994,"8.9",154,"Crime, Drama            ",1954253
"Schindler's List",1993,"8.9",195,"Biography, Drama, History            ",1296701
"Inception",2010,"8.8",148,"Action, Adventure, Sci-Fi            ",2230728
"Fight Club",1999,"8.8",139,"Drama            ",1998419
"The Lord of the Rings: The Fellowship of the Ring",2001,"8.8",178,"Action, Adventure, Drama            ",1772773
"Forrest Gump",1994,"8.8",142,"Drama, Romance            ",1959483
"Il buono, il brutto, il cattivo",1966,"8.8",161,"Adventure, Western            ",733080
"Spider-Man: No Way Home",2021,"8.7",148,"Action, Adventure, Fantasy            ",440954
"Dara iz Jasenovca",2020,"8.7",130,"Drama, War            ",80299
"Shershaah",2021,"8.7",135,"Action, Biography, Drama            ",112821
"Sardar Udham",2021,"8.7",164,"Biography, Crime, Drama            ",35835
"The Lord of the Rings: The Two Towers",2002,"8.7",179,"Action, Adventure, Drama            ",1582200
"The Matrix",1999,"8.7",136,"Action, Sci-Fi            ",1832510
"Goodfellas",1990,"8.7",146,"Biography, Crime, Drama            ",1097740
"Star Wars: Episode V - The Empire Strikes Back",1980,"8.7",124,"Action, Adventure, Fantasy            ",1231762
"One Flew Over the Cuckoo's Nest",1975,"8.7",133,"Drama            ",971520
"Gisaengchung",2019,"8.6",132,"Comedy, Drama, Thriller            ",713999
"Drishyam 2",2021,"8.6",152,"Crime, Drama, Thriller            ",33697
"Interstellar",2014,"8.6",169,"Adventure, Drama, Sci-Fi            ",1684627
"Cidade de Deus",2002,"8.6",130,"Crime, Drama            ",733652
"Sen to Chihiro no kamikakushi",2001,"8.6",125,"Animation, Adventure, Family            ",716553
"Saving Private Ryan",1998,"8.6",169,"Drama, War            ",1324873
"The Green Mile",1999,"8.6",189,"Crime, Drama, Fantasy            ",1235244
"La vita è bella",1997,"8.6",116,"Comedy, Drama, Romance            ",667114
"Se7en",1995,"8.6",127,"Crime, Drama, Mystery            ",1557458
"The Silence of the Lambs",1991,"8.6",118,"Crime, Drama, Thriller            ",1364328
"Star Wars",1977,"8.6",121,"Action, Adventure, Fantasy            ",1303243
"Seppuku",1962,"8.6",133,"Action, Drama, Mystery            ",52058
"Shichinin no samurai",1954,"8.6",207,"Action, Drama            ",335160
"It's a Wonderful Life",1946,"8.6",130,"Comedy, Drama, Family            ",439220
"96",2018,"8.5",158,"Drama, Romance            ",27490
"Whiplash",2014,"8.5",106,"Drama, Music            ",789304
"The Intouchables",2011,"8.5",112,"Biography, Comedy, Drama            ",818006
"The Prestige",2006,"8.5",130,"Drama, Mystery, Thriller            ",1274509
"The Departed",2006,"8.5",151,"Crime, Drama, Thriller            ",1267835
"The Pianist",2002,"8.5",150,"Biography, Drama, Music            ",791593
"Gladiator",2000,"8.5",155,"Action, Adventure, Drama            ",1432541
"American History X",1998,"8.5",119,"Drama            ",1084732
"The Usual Suspects",1995,"8.5",106,"Crime, Drama, Mystery            ",1048278
"Léon",1994,"8.5",110,"Action, Crime, Drama            ",1109248
"The Lion King",1994,"8.5",88,"Animation, Adventure, Drama            ",1007652
"Terminator 2: Judgment Day",1991,"8.5",137,"Action, Sci-Fi            ",1054378
"Nuovo Cinema Paradiso",1988,"8.5",155,"Drama, Romance            ",250998
"Hotaru no haka",1988,"8.5",89,"Animation, Drama, War            ",260924
"Back to the Future",1985,"8.5",116,"Adventure, Comedy, Sci-Fi            ",1141508
"Once Upon a Time in the West",1968,"8.5",165,"Western            ",319893
"Psycho",1960,"8.5",109,"Horror, Mystery, Thriller            ",644595
"Rear Window",1954,"8.5",112,"Mystery, Thriller            ",474761
"Casablanca",1942,"8.5",102,"Drama, Romance, War            ",552945
"Modern Times",1936,"8.5",87,"Comedy, Drama, Family            ",233852
"City Lights",1931,"8.5",87,"Comedy, Drama, Romance            ",179469
"Hamilton",2020,"8.4",160,"Biography, Drama, History            ",82152
"Capharnaüm",2018,"8.4",126,"Drama            ",81372
"Joker",2019,"8.4",122,"Crime, Drama, Thriller            ",1139012
"Ratsasan",2018,"8.4",170,"Crime, Drama, Mystery            ",37773
"Ayla: The Daughter of War",2017,"8.4",125,"Biography, Drama, History            ",38085
"Kimi no na wa.",2016,"8.4",106,"Animation, Drama, Fantasy            ",239862
"Dangal",2016,"8.4",161,"Action, Biography, Drama            ",177771
"Spider-Man: Into the Spider-Verse",2018,"8.4",117,"Animation, Action, Adventure            ",467930
"Avengers: Endgame",2019,"8.4",181,"Action, Adventure, Drama            ",1008244
"Avengers: Infinity War",2018,"8.4",149,"Action, Adventure, Sci-Fi            ",977271
"Coco",2017,"8.4",105,"Animation, Adventure, Comedy            ",459630
"Django Unchained",2012,"8.4",165,"Drama, Western            ",1467702
"The Dark Knight Rises",2012,"8.4",164,"Action, Crime, Drama            ",1614782
"3 Idiots",2009,"8.4",170,"Comedy, Drama            ",377860
"Taare Zameen Par",2007,"8.4",165,"Drama, Family            ",185255
"WALL·E",2008,"8.4",98,"Animation, Adventure, Family            ",1066968
"The Lives of Others",2006,"8.4",137,"Drama, Mystery, Thriller            ",379213
"Oldeuboi",2003,"8.4",101,"Action, Drama, Mystery            ",553859
"Memento",2000,"8.4",113,"Mystery, Thriller            ",1191979
"Mononoke-hime",1997,"8.4",134,"Animation, Action, Adventure            ",375073
"Raiders of the Lost Ark",1981,"8.4",115,"Action, Adventure            ",933072
"The Shining",1980,"8.4",146,"Drama, Horror            ",969157
"Apocalypse Now",1979,"8.4",147,"Drama, Mystery, War            ",642553
"Alien",1979,"8.4",117,"Horror, Sci-Fi            ",841679
"Tengoku to jigoku",1963,"8.4",143,"Crime, Drama, Mystery            ",41514
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb",1964,"8.4",95,"Comedy, War            ",474903
"Witness for the Prosecution",1957,"8.4",116,"Crime, Drama, Mystery            ",120015
"Paths of Glory",1957,"8.4",88,"Drama, War            ",190797
